chroma_energy,mfcc,chroma_stft,zero_crossing_rate,spectral_centroid,spectral_rolloff,genre
0.267,-0.826,0.517,0.075,1938.969,4496.133,blues
0.27,-0.935,0.53,0.077,1968.533,4509.053,blues
0.274,-0.279,0.451,0.075,1920.286,4410.0,blues
0.273,-0.207,0.43,0.075,2014.916,4567.192,blues
0.271,-0.204,0.474,0.071,1992.957,4552.119,blues
0.252,0.197,0.43,0.068,1966.828,4496.133,blues
0.251,0.261,0.442,0.068,2009.368,4601.646,blues
0.25,0.472,0.474,0.069,1973.999,4588.726,blues
0.259,0.738,0.433,0.067,1933.351,4496.133,blues
0.26,0.808,0.455,0.068,1929.777,4450.913,blues
0.263,2.201,0.654,0.015,1138.114,2691.65,blues
0.261,2.562,0.705,0.014,1109.222,2603.364,blues
0.275,3.198,0.677,0.012,1128.158,2659.351,blues
0.273,3.725,0.674,0.013,1112.484,2590.444,blues
0.262,4.11,0.67,0.013,1127.44,2642.124,blues
0.266,4.61,0.724,0.012,1228.516,3021.108,blues
0.263,4.465,0.709,0.011,1058.06,2411.719,blues
0.263,4.534,0.687,0.012,1145.236,2702.417,blues
0.262,3.978,0.693,0.011,1166.018,2723.95,blues
0.273,4.16,0.719,0.011,1010.222,2237.3,blues
0.243,0.497,0.374,0.059,1515.826,2614.131,blues
0.244,-0.126,0.38,0.059,1510.506,2500.005,blues
0.252,0.168,0.383,0.057,1494.645,2495.698,blues
0.254,0.267,0.392,0.058,1523.845,2555.991,blues
0.249,-0.417,0.369,0.058,1486.583,2420.332,blues
0.261,0.609,0.373,0.057,1560.823,2685.19,blues
0.263,0.344,0.38,0.054,1307.203,2209.307,blues
0.261,0.555,0.42,0.054,1292.466,2174.854,blues
0.256,0.079,0.383,0.053,1275.689,2123.174,blues
0.259,-0.093,0.379,0.052,1358.486,2370.806,blues
0.219,3.516,0.417,0.013,882.47,1677.437,blues
0.215,3.797,0.417,0.014,856.337,1472.871,blues
0.21,3.894,0.439,0.014,915.903,1623.604,blues
0.206,3.447,0.416,0.013,703.637,1149.873,blues
0.184,3.7,0.425,0.013,978.141,1843.242,blues
0.191,2.893,0.406,0.013,666.026,1065.894,blues
0.198,3.309,0.408,0.013,873.594,1507.324,blues
0.205,3.46,0.406,0.013,983.194,1879.849,blues
0.209,3.74,0.399,0.012,842.679,1449.185,blues
0.218,3.638,0.433,0.012,807.967,1582.69,blues
0.227,-10.867,0.212,0.063,1564.931,2749.79,blues
0.221,-11.004,0.216,0.065,1628.359,2913.442,blues
0.212,-11.12,0.217,0.066,1513.247,2614.131,blues
0.218,-10.123,0.195,0.068,1618.168,2842.383,blues
0.216,-9.798,0.182,0.069,1561.201,2736.87,blues
0.215,-11.119,0.183,0.07,1559.251,2691.65,blues
0.219,-9.198,0.19,0.07,1571.897,2751.943,blues
0.212,-9.244,0.189,0.071,1545.589,2616.284,blues
0.218,-10.421,0.182,0.07,1603.757,2771.323,blues
0.242,-9.2,0.196,0.07,1633.305,2866.069,blues
0.237,-5.514,0.421,0.056,1841.147,4819.131,blues
0.253,-6.429,0.408,0.056,1904.106,4967.71,blues
0.241,-6.544,0.393,0.055,1912.441,4965.557,blues
0.237,-6.314,0.393,0.054,1895.799,4885.884,blues
0.235,-6.612,0.382,0.05,1857.028,4799.751,blues
0.23,-6.46,0.359,0.048,1793.62,4661.938,blues
0.228,-6.463,0.348,0.047,1741.778,4528.433,blues
0.225,-6.19,0.361,0.046,1636.358,4259.268,blues
0.239,-6.041,0.366,0.041,1720.961,4422.92,blues
0.245,-6.535,0.376,0.037,1575.394,4063.315,blues
0.22,-3.051,0.339,0.049,1248.864,2383.726,blues
0.222,-4.839,0.349,0.046,1247.583,2349.272,blues
0.211,-4.911,0.368,0.046,1146.827,2291.133,blues
0.21,-5.354,0.374,0.046,1207.718,2321.279,blues
0.222,-4.608,0.392,0.045,1158.455,2263.14,blues
0.23,-4.827,0.378,0.046,1175.912,2280.366,blues
0.213,-6.064,0.37,0.049,1150.532,2250.22,blues
0.219,-5.145,0.37,0.047,1243.35,2332.046,blues
0.23,-5.683,0.37,0.047,1288.439,2521.538,blues
0.238,-4.831,0.376,0.05,1281.053,2357.886,blues
0.231,-7.726,0.373,0.059,1861.277,3783.384,blues
0.243,-7.583,0.358,0.059,1906.016,3856.597,blues
0.244,-7.06,0.369,0.059,1892.179,3701.558,blues
0.251,-7.291,0.375,0.057,1873.224,3641.265,blues
0.256,-6.376,0.382,0.057,1967.845,4177.441,blues
0.267,-5.482,0.393,0.057,1989.242,4121.455,blues
0.258,-8.131,0.426,0.054,1819.873,3578.818,blues
0.263,-7.033,0.43,0.055,1842.002,3630.498,blues
0.271,-5.462,0.441,0.056,1852.197,3673.564,blues
0.274,-5.385,0.486,0.054,1808.029,3557.285,blues
0.263,5.43,0.329,0.06,2135.395,5028.003,blues
0.261,6.075,0.318,0.06,2196.249,5249.795,blues
0.252,6.34,0.316,0.059,2227.679,5353.154,blues
0.255,6.233,0.339,0.061,2319.92,5570.64,blues
0.255,6.363,0.365,0.059,2265.771,5484.507,blues
0.253,6.847,0.373,0.06,2278.011,5534.033,blues
0.258,6.963,0.37,0.055,2360.007,5673.999,blues
0.256,6.57,0.338,0.056,2293.399,5439.287,blues
0.263,6.256,0.313,0.055,2208.226,5180.889,blues
0.262,5.665,0.311,0.053,2228.011,5221.802,blues
0.25,-3.208,0.345,0.069,1807.757,3507.759,blues
0.251,-3.253,0.339,0.07,1708.082,3393.633,blues
0.247,-3.03,0.316,0.072,1815.363,3535.752,blues
0.259,-3.372,0.31,0.074,1749.403,3451.772,blues
0.241,-3.16,0.302,0.075,1713.246,3436.699,blues
0.24,-2.531,0.3,0.071,1677.219,3387.173,blues
0.238,-2.972,0.317,0.071,1625.305,3307.5,blues
0.221,-2.412,0.291,0.071,1668.742,3331.187,blues
0.239,-2.67,0.289,0.068,1648.662,3352.72,blues
0.234,-2.49,0.292,0.066,1573.392,3225.674,blues
0.239,-4.627,0.367,0.051,1323.273,2082.261,blues
0.225,-5.067,0.332,0.051,1107.694,1673.13,blues
0.224,-5.206,0.309,0.05,1156.666,1698.97,blues
0.227,-6.446,0.299,0.05,1196.569,1798.022,blues
0.219,-6.26,0.3,0.051,1100.099,1623.604,blues
0.221,-7.305,0.291,0.051,1215.158,1813.096,blues
0.218,-8.031,0.286,0.052,1056.853,1565.464,blues
0.223,-6.14,0.272,0.051,1302.732,1873.389,blues
0.217,-7.272,0.292,0.051,1373.361,2099.487,blues
0.222,-6.818,0.289,0.05,1236.453,1770.029,blues
0.228,-4.539,0.344,0.023,931.257,1251.079,blues
0.224,-4.981,0.328,0.021,1053.296,1726.963,blues
0.213,-5.011,0.315,0.021,1016.776,1503.018,blues
0.203,-5.278,0.315,0.021,857.823,1089.58,blues
0.224,-5.279,0.311,0.02,1135.811,1957.368,blues
0.214,-5.236,0.309,0.02,851.666,1111.113,blues
0.213,-5.664,0.311,0.02,955.631,1503.018,blues
0.228,-5.09,0.305,0.021,920.965,1386.738,blues
0.216,-5.267,0.303,0.021,880.153,1236.006,blues
0.228,-5.462,0.297,0.021,851.381,1115.42,blues
0.259,-4.239,0.27,0.067,1630.099,3441.006,blues
0.255,-3.857,0.276,0.067,1638.93,3410.859,blues
0.257,-4.115,0.282,0.066,1683.898,3451.772,blues
0.257,-3.906,0.293,0.065,1615.332,3451.772,blues
0.257,-4.162,0.31,0.063,1680.172,3477.612,blues
0.252,-4.487,0.303,0.064,1786.434,3505.605,blues
0.24,-4.12,0.28,0.064,1706.749,3460.386,blues
0.244,-4.268,0.282,0.067,1716.532,3453.926,blues
0.235,-4.448,0.287,0.068,1759.746,3481.919,blues
0.241,-4.46,0.302,0.069,1746.29,3505.605,blues
0.269,-1.808,0.439,0.024,1088.629,2127.48,blues
0.276,-1.886,0.467,0.023,1114.405,2217.92,blues
0.27,-1.583,0.487,0.023,1137.301,2254.526,blues
0.27,-1.427,0.474,0.022,1051.98,2015.508,blues
0.275,-1.655,0.457,0.02,1106.141,2174.854,blues
0.277,-0.671,0.425,0.017,1159.988,2379.419,blues
0.274,-0.662,0.454,0.015,1124.084,2230.84,blues
0.273,-0.183,0.48,0.015,1066.076,2118.867,blues
0.271,-0.21,0.445,0.015,1138.128,2351.426,blues
0.27,-0.324,0.457,0.013,1008.652,1862.622,blues
0.252,-2.19,0.385,0.036,1115.871,2196.387,blues
0.256,-1.937,0.388,0.037,1232.115,2400.952,blues
0.266,-2.299,0.428,0.035,1251.784,2461.245,blues
0.255,-2.327,0.447,0.035,1115.362,2151.167,blues
0.258,-2.162,0.445,0.036,1021.59,1991.821,blues
0.269,-2.534,0.46,0.036,1182.262,2288.979,blues
0.272,-2.702,0.447,0.034,1112.978,2136.094,blues
0.268,-2.654,0.443,0.035,1112.909,2118.867,blues
0.246,-2.733,0.468,0.036,1074.282,2039.194,blues
0.251,-2.741,0.44,0.036,1009.22,1922.915,blues
0.237,-5.371,0.248,0.027,1415.776,2932.822,blues
0.24,-5.492,0.242,0.026,1355.176,2792.856,blues
0.247,-5.118,0.24,0.026,1366.968,2878.989,blues
0.245,-5.288,0.238,0.028,1405.48,2993.115,blues
0.224,-5.287,0.248,0.027,1348.182,2816.543,blues
0.224,-5.107,0.258,0.027,1509.088,3434.546,blues
0.233,-5.301,0.274,0.027,1414.044,3186.914,blues
0.229,-5.361,0.284,0.029,1369.999,3107.241,blues
0.237,-5.6,0.282,0.029,1370.745,3163.228,blues
0.252,-5.703,0.299,0.028,1501.328,3524.985,blues
0.277,-0.051,0.394,0.076,1709.606,2990.962,blues
0.279,0.243,0.388,0.077,1773.595,3077.095,blues
0.277,0.217,0.393,0.078,1824.612,3126.621,blues
0.276,0.397,0.373,0.079,1791.333,3100.781,blues
0.275,0.033,0.36,0.081,1803.952,3077.095,blues
0.268,0.182,0.376,0.081,1820.928,3105.088,blues
0.275,0.948,0.379,0.082,1830.507,3118.008,blues
0.278,0.986,0.374,0.082,1869.576,3184.761,blues
0.272,0.976,0.359,0.082,1904.408,3229.98,blues
0.265,1.053,0.359,0.083,1905.501,3212.754,blues
0.262,-0.938,0.377,0.019,1149.745,2487.085,blues
0.262,-0.918,0.335,0.019,960.995,1965.981,blues
0.262,-0.878,0.333,0.019,977.483,1970.288,blues
0.262,-0.979,0.322,0.02,1008.058,2056.421,blues
0.261,-0.574,0.31,0.019,819.874,1617.144,blues
0.26,0.03,0.306,0.019,1074.688,2280.366,blues
0.248,-0.178,0.291,0.017,768.002,1440.571,blues
0.249,0.191,0.272,0.018,833.176,1602.07,blues
0.259,-0.357,0.267,0.019,753.115,1330.752,blues
0.264,-0.098,0.259,0.019,898.888,1681.743,blues
0.247,-3.82,0.38,0.021,1263.771,2650.737,blues
0.247,-4.242,0.394,0.022,1171.7,2372.959,blues
0.245,-4.085,0.366,0.021,1194.402,2508.618,blues
0.246,-4.004,0.325,0.022,1260.635,2773.477,blues
0.252,-4.518,0.341,0.024,1246.429,2850.996,blues
0.278,-4.369,0.346,0.024,1389.077,3413.013,blues
0.274,-4.609,0.365,0.024,1255.093,3016.802,blues
0.277,-3.976,0.404,0.026,1607.848,4155.908,blues
0.276,-4.05,0.384,0.025,1378.195,3443.159,blues
0.277,-4.142,0.371,0.024,1430.947,3742.471,blues
0.26,-5.376,0.405,0.044,1223.601,1942.295,blues
0.252,-5.315,0.366,0.046,1210.372,1950.908,blues
0.264,-5.065,0.394,0.048,1122.799,1856.162,blues
0.258,-5.027,0.434,0.052,1429.825,2291.133,blues
0.254,-5.564,0.419,0.054,1179.58,2009.048,blues
0.245,-5.02,0.358,0.058,1393.764,2357.886,blues
0.256,-5.243,0.338,0.06,1513.401,2286.826,blues
0.257,-5.159,0.325,0.064,1396.183,2254.526,blues
0.251,-4.836,0.328,0.069,1612.697,2534.458,blues
0.25,-4.68,0.362,0.077,1713.031,2637.817,blues
0.282,-4.336,0.518,0.028,1271.657,2795.01,blues
0.279,-4.033,0.521,0.029,1430.268,3339.8,blues
0.276,-4.337,0.544,0.03,1459.379,3417.319,blues
0.276,-4.172,0.533,0.03,1491.842,3520.679,blues
0.278,-4.2,0.548,0.028,1274.374,2760.557,blues
0.279,-4.227,0.549,0.029,1308.062,2889.756,blues
0.273,-4.396,0.521,0.028,1279.962,2786.396,blues
0.273,-4.903,0.49,0.029,1326.406,2930.669,blues
0.27,-4.162,0.528,0.029,1429.709,3264.434,blues
0.279,-4.337,0.55,0.03,1295.073,2891.909,blues
0.262,-3.39,0.301,0.013,699.42,826.875,blues
0.267,-3.402,0.3,0.014,854.91,1199.399,blues
0.272,-3.444,0.305,0.014,946.692,1496.558,blues
0.27,-3.752,0.351,0.014,621.515,626.616,blues
0.273,-3.856,0.349,0.013,802.604,986.221,blues
0.277,-2.727,0.403,0.013,1218.342,2418.179,blues
0.277,-4.307,0.4,0.012,697.221,663.223,blues
0.283,-3.417,0.407,0.012,973.108,1541.777,blues
0.28,-4.004,0.403,0.013,746.576,816.108,blues
0.28,-2.957,0.41,0.012,1142.269,2153.32,blues
0.217,-3.585,0.21,0.024,1194.528,2659.351,blues
0.213,-4.449,0.205,0.022,1261.596,2937.129,blues
0.192,-4.831,0.188,0.02,1247.891,2932.822,blues
0.198,-4.14,0.199,0.02,1157.43,2816.543,blues
0.192,-3.947,0.199,0.019,1229.113,2973.735,blues
0.215,-3.924,0.195,0.02,1430.401,3298.887,blues
0.204,-4.376,0.19,0.02,1388.523,3206.294,blues
0.2,-4.109,0.187,0.02,1401.292,3219.214,blues
0.189,-4.09,0.193,0.019,1213.506,3029.722,blues
0.193,-4.502,0.199,0.02,1211.489,3029.722,blues
0.2,-4.307,0.209,0.038,1359.306,2611.978,blues
0.221,-3.829,0.235,0.036,1587.97,3130.928,blues
0.219,-4.418,0.25,0.035,1450.209,2797.163,blues
0.207,-5.274,0.246,0.033,1440.08,2982.349,blues
0.217,-4.989,0.238,0.032,1316.903,2652.891,blues
0.208,-5.698,0.215,0.029,1385.885,2773.477,blues
0.2,-5.611,0.208,0.027,1216.746,2663.657,blues
0.209,-5.268,0.206,0.025,1348.645,2792.856,blues
0.194,-5.245,0.207,0.025,1306.393,2767.017,blues
0.193,-5.789,0.21,0.024,1180.65,2700.264,blues
0.231,-2.386,0.377,0.024,989.605,2161.934,blues
0.216,-1.609,0.348,0.021,846.508,1595.61,blues
0.207,-1.941,0.358,0.02,851.282,1586.997,blues
0.203,-1.864,0.362,0.019,977.441,1937.988,blues
0.21,-1.54,0.347,0.019,867.506,1630.063,blues
0.199,-1.77,0.38,0.018,1021.522,2037.041,blues
0.201,-1.682,0.344,0.018,883.219,1565.464,blues
0.203,-0.652,0.345,0.018,901.377,1668.823,blues
0.197,-0.52,0.341,0.017,1067.708,2142.554,blues
0.197,-1.591,0.331,0.016,686.506,1042.207,blues
0.254,0.225,0.262,0.042,1239.104,2825.156,blues
0.259,-0.062,0.264,0.041,1226.971,2825.156,blues
0.257,0.46,0.252,0.038,1391.584,3003.882,blues
0.256,-0.111,0.25,0.037,1210.356,2764.863,blues
0.26,-0.78,0.246,0.037,1255.77,2691.65,blues
0.259,-0.339,0.243,0.035,1428.872,3111.548,blues
0.26,-0.589,0.233,0.033,1275.161,2784.243,blues
0.261,-1.047,0.239,0.032,1116.631,2353.579,blues
0.265,-1.288,0.246,0.03,1325.567,2764.863,blues
0.267,-1.447,0.232,0.029,1233.216,2680.884,blues
0.217,-4.935,0.347,0.007,916.323,1640.83,blues
0.243,-4.747,0.357,0.008,961.846,1698.97,blues
0.238,-4.516,0.35,0.008,1055.694,2131.787,blues
0.239,-5.0,0.352,0.008,951.688,1651.597,blues
0.233,-4.952,0.363,0.009,922.21,1597.764,blues
0.217,-4.309,0.355,0.01,1219.743,2762.71,blues
0.241,-4.623,0.367,0.01,1024.425,2095.181,blues
0.233,-4.95,0.363,0.009,995.231,2019.814,blues
0.219,-4.875,0.356,0.01,1098.658,2523.691,blues
0.214,-5.088,0.374,0.01,1190.695,2801.47,blues
0.212,-6.784,0.223,0.075,1896.525,3615.425,blues
0.192,-6.143,0.224,0.078,1860.127,3514.219,blues
0.211,-6.324,0.224,0.08,2000.707,3669.258,blues
0.199,-7.547,0.231,0.083,1885.557,3507.759,blues
0.194,-6.682,0.236,0.083,1886.821,3522.832,blues
0.2,-6.515,0.24,0.084,1958.983,3671.411,blues
0.2,-6.718,0.232,0.083,1836.736,3507.759,blues
0.206,-5.961,0.241,0.084,1995.773,3768.311,blues
0.201,-6.184,0.24,0.083,1938.026,3634.805,blues
0.198,-6.615,0.239,0.083,1888.529,3557.285,blues
0.225,-2.11,0.253,0.093,1832.351,2734.717,blues
0.23,-1.832,0.241,0.094,1780.858,2635.664,blues
0.235,-1.554,0.217,0.096,1749.732,2562.451,blues
0.231,-0.985,0.215,0.097,1871.861,2691.65,blues
0.234,-1.676,0.217,0.097,1844.745,2719.644,blues
0.23,-1.975,0.225,0.099,1881.514,2672.271,blues
0.226,-2.534,0.236,0.1,1758.324,2579.678,blues
0.231,-1.654,0.243,0.101,1879.711,2652.891,blues
0.222,-1.867,0.253,0.102,1766.175,2588.291,blues
0.229,-1.567,0.264,0.102,1814.257,2607.671,blues
0.183,-9.851,0.394,0.019,1526.27,3283.813,blues
0.194,-8.272,0.409,0.02,1567.543,3417.319,blues
0.198,-7.194,0.441,0.022,1579.929,3460.386,blues
0.224,-7.552,0.48,0.022,1574.563,3512.065,blues
0.254,-7.225,0.488,0.023,1574.811,3507.759,blues
0.25,-5.509,0.476,0.024,1536.537,3350.566,blues
0.254,-7.107,0.45,0.024,1508.877,3307.5,blues
0.256,-7.037,0.428,0.025,1531.307,3453.926,blues
0.271,-4.821,0.471,0.025,1661.852,3878.13,blues
0.277,-7.362,0.527,0.027,1563.456,3527.139,blues
0.222,-6.108,0.382,0.015,770.976,1259.692,blues
0.231,-5.198,0.371,0.014,1019.153,1899.229,blues
0.223,-5.225,0.35,0.013,912.688,1528.857,blues
0.22,-4.664,0.309,0.013,648.047,755.815,blues
0.216,-4.788,0.296,0.013,604.468,714.902,blues
0.214,-5.008,0.287,0.013,597.113,648.149,blues
0.212,-5.121,0.262,0.012,931.402,1569.771,blues
0.227,-3.636,0.249,0.012,1109.966,2192.08,blues
0.23,-6.33,0.256,0.013,853.214,1388.892,blues
0.233,-3.342,0.269,0.013,1028.439,1860.469,blues
0.223,-6.752,0.404,0.024,1678.443,4918.184,blues
0.216,-3.538,0.387,0.023,1665.528,5010.776,blues
0.231,-3.091,0.378,0.022,1729.209,5090.449,blues
0.21,-4.14,0.373,0.023,1706.384,5165.815,blues
0.215,-5.544,0.351,0.023,1650.56,4881.577,blues
0.212,-3.621,0.34,0.028,1622.842,4797.598,blues
0.194,-4.695,0.323,0.027,1670.207,5006.47,blues
0.2,-7.468,0.316,0.027,1691.402,5137.822,blues
0.206,-5.235,0.314,0.032,1798.051,5409.141,blues
0.208,-3.484,0.295,0.034,1723.43,5211.035,blues
0.18,-9.331,0.196,0.015,1473.855,3572.358,blues
0.18,-8.962,0.195,0.015,1246.863,2850.996,blues
0.181,-9.677,0.194,0.015,1541.611,3692.944,blues
0.178,-7.99,0.198,0.015,1254.437,2678.73,blues
0.18,-9.403,0.198,0.015,1388.792,3083.555,blues
0.179,-8.907,0.203,0.015,1166.507,2288.979,blues
0.179,-11.207,0.208,0.014,1396.008,3081.401,blues
0.191,-8.346,0.204,0.015,996.313,1546.084,blues
0.186,-7.855,0.213,0.015,1398.967,2965.122,blues
0.189,-11.354,0.221,0.015,1390.887,2911.289,blues
0.225,-2.249,0.357,0.02,771.478,891.475,blues
0.215,-2.229,0.332,0.017,812.392,1012.061,blues
0.206,-2.962,0.323,0.017,918.564,1399.658,blues
0.193,-2.028,0.294,0.017,955.95,1580.537,blues
0.189,-2.839,0.302,0.017,658.337,676.143,blues
0.194,-2.336,0.295,0.016,825.634,1212.319,blues
0.197,-3.236,0.273,0.016,626.78,783.809,blues
0.182,-2.047,0.262,0.014,615.564,693.369,blues
0.174,-2.78,0.267,0.013,548.877,428.511,blues
0.174,-2.027,0.264,0.012,650.446,676.143,blues
0.272,-5.12,0.448,0.036,1620.283,3794.15,blues
0.239,-4.84,0.488,0.033,1402.58,3027.568,blues
0.258,-4.153,0.471,0.03,1468.42,3324.727,blues
